UUID,Num,Chapitre,Theme,SSTheme,Exigence FR
b0befafb-d6f3-4eaa-abc3-818e804b72ca,1.1.1,1-Gouvernance et engagement,Politique,,"La direction générale élabore, met en œuvre et tient à jour une politique d'entreprise qui comprend au moins les éléments suivants  
au minimum : 
- la sécurité alimentaire, la qualité des produits, la légalité et l'authenticité 
- l'attention portée à la clientèle 
- la culture de la sécurité alimentaire 
- le développement durable. 
- Cette politique d'entreprise est communiquée à tous les employés et se décline en objectifs spécifiques pour les services concernés.  
départements concernés. 
Les objectifs relatifs à la culture de la sécurité alimentaire comprennent, au minimum, la communication sur les politiques et les responsabilités en matière de sécurité alimentaire, la formation, le retour d'information des employés sur les questions liées à la sécurité alimentaire et l'évaluation des performances."
af21e652-745c-4ef7-ace8-fec6e2e0d183,1.1.2,1-Gouvernance et engagement,Politique,,"Toutes les informations pertinentes relatives à la sécurité alimentaire, à la qualité des produits, à la légalité et à l'authenticité sont communiquées efficacement et en temps utile au personnel concerné."
6db028c0-a208-41ee-9240-83fd88bf8f8c,"1.2.1 *
KO",1-Gouvernance et engagement,Organisation de la société,,kO N° 1 : La direction générale doit veiller à ce que les employés soient conscients de leurs responsabilités en matière de sécurité alimentaire et de qualité des produits et à ce que des mécanismes soient mis en œuvre pour contrôler l'efficacité de leur action. Ces mécanismes doivent être clairement identifiés et documentés.
d417c0e5-2881-450e-ae30-888fc19b2fa6,1.2.2,1-Gouvernance et engagement,Organisation de la société,,La direction générale fournit des ressources suffisantes et appropriées pour répondre aux exigences en matière de produits et de processus.
0ce2bd38-1b0a-4ac5-9ca6-4eedd9425c8b,1.2.3*,1-Gouvernance et engagement,Organisation de la société,,"Le service responsable de la gestion de la sécurité et de la qualité des denrées alimentaires
doit être directement rattaché à la direction générale. Un organigramme montrant la structure de l'entreprise doit être documenté et tenu à jour.
de l'entreprise, doit être documenté et tenu à jour."
25b4482f-41e9-4130-867d-bfb642fe2855,1.2.4,1-Gouvernance et engagement,Organisation de la société,,La direction générale veille à ce que tous les processus (documentés ou non) soient connus du personnel concerné et appliqués de manière cohérente.
08a1c7e6-9397-4a53-bea4-7f7f58581859,1.2.5*,1-Gouvernance et engagement,Organisation de la société,,"La direction générale maintient un système garantissant que l'entreprise est
informée de l'ensemble de la législation pertinente, des développements scientifiques et techniques,
les codes de pratique de l'industrie, les questions de sécurité alimentaire et de qualité des produits, et qu'ils sont conscients des facteurs pouvant influencer les risques de défense et de fraude alimentaires.
qu'ils sont conscients des facteurs susceptibles d'influer sur les risques de défense et de fraude alimentaires."
2b9073fe-b3ff-4881-bfa5-c37e81afc4df,1.2.6*,1-Gouvernance et engagement,Organisation de la société,," La direction générale doit veiller à ce que l'organisme de certification soit informé de tout changement susceptible d'affecter la capacité de l'entreprise à se conformer aux exigences de certification. Il s'agit au minimum des éléments suivants 
- tout changement de nom de l'entité juridique 
- tout changement d'emplacement du site de production. Pour les situations spécifiques suivantes - tout rappel de produit 
- tout rappel de produit et/ou retrait décidé par les autorités pour des raisons de sécurité alimentaire et/ou de fraude alimentaire  
pour des raisons de sécurité alimentaire et/ou de fraude alimentaire 
- toute visite des autorités entraînant une action obligatoire  
liée à la sécurité alimentaire et/ou à la fraude alimentaire, l'organisme de certification doit en être informé dans les trois (3) jours ouvrables."
cd18101a-f1c6-496b-aac7-7be3f1a0fb2e,1.3.1*,1-Gouvernance et engagement,Revue de direction,,"La direction générale veille à ce que le système de gestion de la qualité et de la sécurité des denrées alimentaires soit réexaminé. Cette activité est planifiée dans un délai de douze mois et son exécution ne dépasse pas quinze mois. 
Ces examens comprennent, au minimum  
au minimum : 
- un examen des objectifs et des politiques, y compris des éléments de la culture de la sécurité alimentaire 
- les résultats des audits et des inspections sur place - les réactions positives et négatives des clients 
- la conformité des processus 
- les résultats de l'évaluation de la fraude alimentaire - les résultats de l'évaluation de la défense alimentaire - les questions de conformité 
- l'état des corrections et des actions correctives 
- La direction générale doit veiller à ce que le système de gestion de la qualité et de la sécurité des denrées alimentaires soit revu. Cette activité doit être planifiée dans un délai de 12 mois et son exécution ne doit pas dépasser 15 mois. 
Ces examens comprennent, au minimum  
au minimum : 
- un examen des objectifs et des politiques, y compris des éléments de la culture de la sécurité alimentaire 
- les résultats des audits et des inspections sur place - les réactions positives et négatives des clients 
- la conformité des processus 
- les résultats de l'évaluation de la fraude alimentaire - les résultats de l'évaluation de la défense alimentaire - les questions de conformité 
- l'état des corrections et des actions correctives 
- les notifications des autorités."
bc605939-9b6a-4bdc-8093-0a0437450e3f,1.3.2,1-Gouvernance et engagement,Revue de direction,,Les actions découlant de la revue de direction visent à soutenir l'amélioration. La revue de direction évalue les actions de suivi des revues de direction précédentes et tout changement susceptible d'affecter le système de gestion de la qualité et de la sécurité des denrées alimentaires. La revue de direction est entièrement documentée.
